145-has,12,62,0.1935
146-has,9,54,0.1667
15-has,20,99,0.202
163-has,13,76,0.1711
179-has,5,47,0.1064
183-has,33,203,0.1626
187-has,12,49,0.2449
190-has,10,101,0.099
191-has,1,4,0.25
218-has,36,255,0.1412
221-has,23,185,0.1243
230-has,22,161,0.1366
239-has,12,64,0.1875
277-has,2,15,0.1333
7-has,8,58,0.1379
